id,time,qpos,qvel,qacc,ctrl
0,0.002,[0. 0.],[0. 0.],[0. 0.],[0. 0.]
1,0.004,[3.86904664e-11 8.09561119e-11],[1.93452332e-08 4.04780560e-08],[9.67261659e-06 2.02390280e-05],[9.99983333e-05 0.00000000e+00]
2,0.006,[2.32133935e-10 4.85711479e-10],[9.67217343e-08 2.02377684e-07],[3.86882506e-05 8.09498139e-05],[0.00039997 0.        ]
3,0.008,[7.73738424e-10 1.61892071e-09],[2.70802244e-07 5.66604613e-07],[8.70402549e-05 1.82113465e-04],[0.00089987 0.        ]
4,0.01,[1.93421312e-09 4.04692392e-09],[5.80237349e-07 1.21400161e-06],[0.00015472 0.0003237 ],[0.00159957 0.        ]
5,0.012,[4.06150637e-09 8.49757049e-09],[1.06364663e-06 2.22532329e-06],[0.0002417  0.00050566],[0.00249896 0.        ]
6,0.014,[7.58072595e-09 1.58599925e-08],[1.75960979e-06 3.68121100e-06],[0.00034798 0.00072794],[0.00359784 0.        ]
7,0.016,[1.29940416e-08 2.71843278e-08],[2.70665784e-06 5.66216766e-06],[0.00047352 0.00099048],[0.004896 0.      ]
8,0.018000000000000002,[2.08805702e-08 4.36813932e-08],[3.94326426e-06 8.24853268e-06],[0.0006183  0.00129318],[0.00639318 0.        ]
9,0.020000000000000004,[3.18962424e-08 6.67223070e-08],[5.50783613e-06 1.15204569e-05],[0.00078229 0.00163596],[0.00808907 0.        ]
10,0.022000000000000006,[4.67736532e-08 9.78380621e-08],[7.43870538e-06 1.55578776e-05],[0.00096543 0.00201871],[0.00998334 0.        ]
11,0.024000000000000007,[6.63218931e-08 1.38719049e-07],[9.77411993e-06 2.04404933e-05],[0.00116771 0.00244131],[0.01207561 0.        ]
12,0.02600000000000001,[9.14263630e-08 1.91214527e-07],[1.25522349e-05 2.62477392e-05],[0.00138906 0.00290362],[0.01436546 0.        ]
13,0.02800000000000001,[1.23048571e-07 2.57332051e-07],[1.58111040e-05 3.30587622e-05],[0.00162943 0.00340551],[0.01685244 0.        ]
14,0.030000000000000013,[1.62225912e-07 3.39236843e-07],[1.95886705e-05 4.09523956e-05],[0.00188878 0.00394682],[0.01953604 0.        ]
15,0.032000000000000015,[2.10071429e-07 4.39251113e-07],[2.39227586e-05 5.00071351e-05],[0.00216704 0.00452737],[0.02241572 0.        ]
16,0.034000000000000016,[2.67773559e-07 5.59853340e-07],[2.88510650e-05 6.03011136e-05],[0.00246415 0.00514699],[0.02549091 0.        ]
