,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  3.35419856 213.75963368],[0.    0.249]
1,0.001,[3.35419856e-06 2.13759634e-04],[0.0033542  0.21375963],[  3.20701165 204.42874277],[-0.00041506  0.23815504]
2,0.002,[9.91540878e-06 6.31948010e-04],[0.00656121 0.41818838],[  3.06534172 195.44872985],[-0.00082307  0.22773564]
3,0.003,[1.95419607e-05 1.24558512e-03],[0.00962655 0.61363711],[  2.92898238 186.80668226],[-0.00122431  0.21772606]
4,0.004,[3.2097495e-05 2.0460289e-03],[0.01255553 0.80044379],[  2.79773347 178.49015087],[-0.00161902  0.20811112]
5,0.005,[4.74507628e-05 3.02496284e-03],[0.01535327 0.97893394],[  2.6714013  170.48713701],[-0.00200745  0.19887621]
6,0.006,[6.54754319e-05 4.17438392e-03],[0.01802467 1.14942108],[  2.54979873 162.78607908],[-0.00238983  0.19000727]
7,0.007,[8.60498997e-05 5.48659108e-03],[0.02057447 1.31220716],[  2.43274526 155.37583897],[-0.00276639  0.18149072]
8,0.008,[0.00010906 0.00695417],[0.02300721 1.46758299],[  2.32006704 148.24568835],[-0.00313733  0.17331351]
9,0.009000000000000001,[0.00013438 0.00857   ],[0.02532728 1.61582868],[  2.21159679 141.38529506],[-0.00350287  0.16546307]
10,0.010000000000000002,[0.00016192 0.01032722],[0.02753888 1.75721398],[  2.10717369 134.78470958],[-0.0038632   0.15792728]
11,0.011000000000000003,[0.00019157 0.01221922],[0.02964605 1.89199869],[  2.00664328 128.43435163],[-0.00421852  0.15069446]
12,0.012000000000000004,[0.00022322 0.01423965],[0.03165269 2.02043304],[  1.90985727 122.32499705],[-0.00456902  0.14375337]
13,0.013000000000000005,[0.00025678 0.01638241],[0.03356255 2.14275804],[  1.81667341 116.44776495],[-0.00491486  0.1370932 ]
14,0.014000000000000005,[0.00029216 0.01864161],[0.03537922 2.2592058 ],[  1.72695524 110.79410515],[-0.00525622  0.1307035 ]
15,0.015000000000000006,[0.00032927 0.02101161],[0.03710618 2.36999991],[  1.64057193 105.35578588],[-0.00559327  0.12457422]
16,0.016000000000000007,[0.00036802 0.02348697],[0.03874675 2.47535569],[  1.55739808 100.12488196],[-0.00592615  0.1186957 ]
17,0.017000000000000008,[0.00040832 0.02606245],[0.04030415 2.57548057],[ 1.47731346 95.09376327],[-0.00625503  0.11305861]
18,0.01800000000000001,[0.0004501  0.02873302],[0.04178146 2.67057434],[ 1.40020286 90.25508351],[-0.00658006  0.10765395]
19,0.01900000000000001,[0.00049328 0.03149385],[0.04318167 2.76082942],[ 1.32595584 85.60176951],[-0.00690136  0.10247308]
20,0.02000000000000001,[0.00053779 0.03434028],[0.04450762 2.84643119],[ 1.25446655 81.12701072],[-0.00721908  0.09750767]
21,0.02100000000000001,[0.00058355 0.03726784],[0.04576209 2.9275582 ],[ 1.18563351 76.82424926],[-0.00753334  0.09274966]
22,0.022000000000000013,[0.0006305  0.04027222],[0.04694772 3.00438245],[ 1.1193594  72.68717013],[-0.00784428  0.08819134]
23,0.023000000000000013,[0.00067857 0.04334929],[0.04806708 3.07706962],[ 1.05555091 68.70969199],[-0.00815201  0.08382524]
24,0.024000000000000014,[0.00072769 0.04649507],[0.04912263 3.14577931],[ 0.99411854 64.88595814],[-0.00845665  0.07964418]
25,0.025000000000000015,[0.00077781 0.04970574],[0.05011675 3.21066527],[ 0.93497638 61.21032791],[-0.00875831  0.07564123]
26,0.026000000000000016,[0.00082886 0.05297761],[0.05105173 3.2718756 ],[ 0.878042   57.67736838],[-0.00905711  0.07180972]
27,0.027000000000000017,[0.00088079 0.05630717],[0.05192977 3.32955297],[ 0.82323627 54.28184644],[-0.00935314  0.06814323]
28,0.028000000000000018,[0.00093354 0.059691  ],[0.05275301 3.38383481],[ 0.77048316 51.01872111],[-0.0096465   0.06463557]
29,0.02900000000000002,[0.00098707 0.06312586],[0.05352349 3.43485353],[ 0.71970967 47.88313624],[-0.0099373   0.06128076]
30,0.03000000000000002,[0.00104131 0.06660859],[0.0542432  3.48273667],[ 0.67084561 44.87041346],[-0.01022563  0.05807306]
31,0.03100000000000002,[0.00109622 0.0701362 ],[0.05491404 3.52760708],[ 0.62382353 41.97604541],[-0.01051157  0.05500693]
32,0.03200000000000002,[0.00115176 0.07370578],[0.05553787 3.56958313],[ 0.57857853 39.19568927],[-0.01079522  0.05207702]
33,0.03300000000000002,[0.00120788 0.07731456],[0.05611645 3.60877882],[ 0.53504821 36.52516054],[-0.01107666  0.0492782 ]
34,0.03400000000000002,[0.00126453 0.08095986],[0.05665149 3.64530398],[ 0.49317249 33.96042704],[-0.01135597  0.04660551]
35,0.035000000000000024,[0.00132167 0.08463913],[0.05714467 3.67926441],[ 0.45289354 31.49760324],[-0.01163322  0.04405416]
36,0.036000000000000025,[0.00137927 0.08834989],[0.05759756 3.71076201],[ 0.41415569 29.13294469],[-0.0119085   0.04161956]
37,0.037000000000000026,[0.00143728 0.09208979],[0.05801172 3.73989495],[ 0.37690527 26.86284281],[-0.01218188  0.03929727]
