id,time,qpos,qvel,qacc,ctrl
0,0.002,[ 1.79403415e-05 -9.44556617e-06],[ 0.00897017 -0.00472278],[ 4.49508657 -2.37690447],[0. 0.]
1,0.004,[ 5.37560644e-05 -2.78586485e-05],[ 0.01790786 -0.00920654],[ 4.47863888 -2.25693252],[0.09999833 0.09999833]
2,0.006,[ 1.07383038e-04 -5.47630686e-05],[ 0.02681349 -0.01345221],[ 4.4623995  -2.13743046],[0.19998667 0.19998667]
3,0.008,[ 1.78757959e-04 -8.96845529e-05],[ 0.03568746 -0.01746074],[ 4.44636805 -2.01840671],[0.299955 0.299955]
4,0.01,[ 0.00026782 -0.00013215],[ 0.0445302  -0.02123311],[ 4.43054413 -1.89986963],[0.39989334 0.39989334]
5,0.012,[ 0.0003745  -0.00018169],[ 0.0533421  -0.02477029],[ 4.41492732 -1.78182757],[0.49979169 0.49979169]
6,0.014,[ 0.00049875 -0.00023784],[ 0.0621236  -0.02807329],[ 4.39951718 -1.66428881],[0.59964006 0.59964006]
7,0.016,[ 0.0006405  -0.00030012],[ 0.07087508 -0.03114314],[ 4.38431325 -1.54726161],[0.69942847 0.69942847]
8,0.018000000000000002,[ 0.00079969 -0.00036809],[ 0.07959698 -0.03398085],[ 4.36931506 -1.43075416],[0.79914694 0.79914694]
9,0.020000000000000004,[ 0.00097627 -0.00044126],[ 0.08828968 -0.0365875 ],[ 4.35452211 -1.31477466],[0.89878549 0.89878549]
10,0.022000000000000006,[ 0.00117018 -0.00051919],[ 0.09695361 -0.03896413],[ 4.33993389 -1.19933121],[0.99833417 0.99833417]
11,0.024000000000000007,[ 0.00138136 -0.00060141],[ 0.10558916 -0.04111185],[ 4.32554988 -1.08443191],[1.09778301 1.09778301]
12,0.02600000000000001,[ 0.00160975 -0.00068748],[ 0.11419674 -0.04303174],[ 4.31136953 -0.97008478],[1.19712207 1.19712207]
13,0.02800000000000001,[ 0.00185531 -0.00077693],[ 0.12277675 -0.04472492],[ 4.29739227 -0.85629784],[1.29634143 1.29634143]
14,0.030000000000000013,[ 0.00211796 -0.00086931],[ 0.13132961 -0.04619253],[ 4.28361752 -0.74307902],[1.39543115 1.39543115]
15,0.032000000000000015,[ 0.00239768 -0.00096418],[ 0.1398557  -0.04743571],[ 4.27004469 -0.63043624],[1.49438132 1.49438132]
16,0.034000000000000016,[ 0.00269439 -0.00106109],[ 0.14835543 -0.04845562],[ 4.25667315 -0.51837734],[1.59318207 1.59318207]
