,time,qpos,qvel,qacc,ctrl
0,0.002,[ 1.79403415e-05 -9.44556617e-06],[ 0.00897017 -0.00472278],[ 4.49508657 -2.37690447],[0. 0.]
1,0.004,[ 5.22751900e-05 -2.43014992e-05],[ 0.01716742 -0.00742797],[ 4.10652177 -1.36384103],[0.11999968 0.59996   ]
2,0.006,[ 1.01467830e-04 -4.05513106e-05],[ 0.02459632 -0.00812491],[ 3.7202472 -0.3554758],[0.23999744 1.19968003]
3,0.008,[ 1.63991356e-04 -5.41988710e-05],[ 0.03126176 -0.00682378],[3.33643638 0.64777731],[0.35999136 1.79892019]
4,0.01,[ 2.40048904e-04 -6.53175448e-05],[ 0.03802877 -0.00555934],[3.3873206  0.62929112],[0.47997952 2.39744082]
5,0.012,[ 3.29846303e-04 -7.39874251e-05],[ 0.0448987  -0.00433494],[3.43888161 0.60911552],[0.59996   2.9950025]
6,0.014,[ 4.33583131e-04 -8.02742982e-05],[ 0.05186841 -0.00314344],[3.48887259 0.59253209],[0.71993088 3.59136622]
7,0.016,[ 5.50753169e-04 -8.25830236e-05],[ 0.05858502 -0.00115436],[3.36152189 0.99296212],[0.83989024 4.18629344]
8,0.018000000000000002,[ 6.79858055e-04 -7.69822908e-05],[0.06455244 0.00280037],[2.98488243 1.97994067],[0.95983617 4.7795462 ]
9,0.020000000000000004,[ 8.19413423e-04 -5.95711091e-05],[0.06977768 0.00870559],[2.61175828 2.95930621],[1.07976674 5.3708872 ]
10,0.022000000000000006,[ 9.67949556e-04 -2.64803832e-05],[0.07426807 0.01654536],[2.24231413 3.93066336],[1.19968003 5.96007992]
11,0.024000000000000007,[1.12401204e-03 2.61255254e-05],[0.07803124 0.02630295],[1.87671319 4.89361994],[1.31957412 6.54688869]
12,0.02600000000000001,[0.00128616 0.00010205],[0.08107518 0.03796086],[1.51511712 5.8477872 ],[1.4394471  7.13107879]
13,0.02800000000000001,[0.00145298 0.00020505],[0.08340817 0.05150082],[1.15768593 6.7927799 ],[1.55929706 7.71241656]
14,0.030000000000000013,[0.00162306 0.00033886],[0.08503882 0.06690379],[0.80457796 7.7282165 ],[1.67912206 8.29066946]
15,0.032000000000000015,[0.00179501 0.00050716],[0.08597604 0.08414999],[0.45594983 8.65371927],[1.79892019 8.8656062 ]
16,0.034000000000000016,[0.00196747 0.00071359],[0.08622906 0.10321891],[0.11195634 9.56891449],[1.91868955 9.43699682]
17,0.03600000000000002,[0.00213908 0.00096177],[0.08580741 0.12408927],[-0.22724956 10.47343255],[ 2.0384282  10.00461276]
18,0.03800000000000002,[0.00230852 0.00125525],[0.08472091 0.14673909],[-0.56151683 11.36690808],[ 2.15813424 10.568227  ]
19,0.04000000000000002,[0.00247448 0.00159754],[0.0829797  0.17114565],[-0.89069638 12.24898011],[ 2.27780575 11.12761408]
20,0.04200000000000002,[0.00263567 0.00199211],[0.08059419 0.19728555],[-1.21464113 13.11929219],[ 2.39744082 11.68255027]
21,0.044000000000000025,[0.00279082 0.00244238],[0.07757509 0.22513465],[-1.53320606 13.97749254],[ 2.51703753 12.23281359]
22,0.04600000000000003,[0.00293869 0.00295172],[0.07393338 0.25466815],[-1.84624827 14.82323414],[ 2.63659396 12.77818395]
23,0.04800000000000003,[0.00307805 0.00352344],[0.06968035 0.28586056],[-2.15362699 15.65617487],[ 2.75610821 13.31844321]
24,0.05000000000000003,[0.0032077  0.00416081],[0.06482754 0.31868572],[-2.45520365 16.47597762],[ 2.87557836 13.85337527]
25,0.05200000000000003,[0.00332648 0.00486705],[0.05938677 0.35311679],[-2.75084192 17.28231042],[ 2.9950025  14.38276616]
26,0.054000000000000034,[0.00343322 0.0056453 ],[0.05337012 0.38912631],[-3.04040773 18.07484655],[ 3.11437872 14.90640414]
27,0.056000000000000036,[0.0035268  0.00649867],[0.04678994 0.42668617],[-3.32376935 18.85326461],[ 3.23370511 15.42407975]
28,0.05800000000000004,[0.00360611 0.00743021],[0.03965883 0.4657676 ],[-3.60079737 19.61724869],[ 3.35297976 15.93558594]
29,0.06000000000000004,[0.00367009 0.00844289],[0.03198966 0.50634127],[-3.87136478 20.36648841],[ 3.47220077 16.4407181 ]
30,0.06200000000000004,[0.00372072 0.00953633],[0.02531488 0.54672275],[-3.37331855 20.26928289],[ 3.59136622 16.9392742 ]
31,0.06400000000000004,[0.00375958 0.01071058],[0.01942831 0.58712375],[-2.97866582 20.27846582],[ 3.71047421 17.43105482]
32,0.06600000000000004,[0.00378565 0.01196846],[0.01303502 0.62894074],[-3.23348031 20.98942072],[ 3.82952283 17.91586324]
