,time,qpos,qvel,qacc,ctrl
0,0.001,[0.],[0.],[0.],[0.]
1,0.002,[1.72930568e-07],[0.00017293],[0.17293057],[0.18849432]
2,0.003,[6.91714978e-07],[0.00051878],[0.34585384],[0.3769812]
3,0.004,[1.72926192e-06],[0.00103755],[0.51876253],[0.56545319]
4,0.005,[3.45845819e-06],[0.0017292],[0.69164933],[0.75390286]
5,0.006,[6.05216143e-06],[0.0025937],[0.86450697],[0.94232277]
6,0.007,[9.6831928e-06],[0.00363103],[1.03732814],[1.13070548]
7,0.008,[1.45243297e-05],[0.00484114],[1.21010555],[1.31904355]
8,0.009000000000000001,[2.07482986e-05],[0.00622397],[1.38283193],[1.50732955]
9,0.010000000000000002,[2.85277674e-05],[0.00777947],[1.55549997],[1.69555603]
10,0.011000000000000003,[3.80353387e-05],[0.00950757],[1.72810241],[1.88371559]
11,0.012000000000000004,[4.94435419e-05],[0.0114082],[1.90063196],[2.07180077]
12,0.013000000000000005,[6.29248264e-05],[0.01348128],[2.07308133],[2.25980417]
13,0.014000000000000005,[7.86515542e-05],[0.01572673],[2.24544327],[2.44771835]
14,0.015000000000000006,[9.67959925e-05],[0.01814444],[2.41771048],[2.6355359]
15,0.016000000000000007,[0.00011753],[0.02073431],[2.58987571],[2.8232494]
16,0.017000000000000008,[0.00014103],[0.02349625],[2.7619317],[3.01085145]
17,0.01800000000000001,[0.00016746],[0.02643012],[2.93387118],[3.19833463]
18,0.01900000000000001,[0.00019699],[0.0295358],[3.1056869],[3.38569155]
19,0.02000000000000001,[0.00022981],[0.03281318],[3.27737161],[3.5729148]
20,0.02100000000000001,[0.00026607],[0.03626209],[3.44891806],[3.75999701]
21,0.022000000000000013,[0.00030595],[0.03988241],[3.62031902],[3.94693077]
22,0.023000000000000013,[0.00034962],[0.04367398],[3.79156726],[4.13370872]
23,0.024000000000000014,[0.00039726],[0.04763664],[3.96265553],[4.32032348]
24,0.025000000000000015,[0.00044903],[0.05177021],[4.13357664],[4.50676767]
25,0.026000000000000016,[0.00050511],[0.05607454],[4.30432335],[4.69303395]
26,0.027000000000000017,[0.00056565],[0.06054942],[4.47488847],[4.87911496]
27,0.028000000000000018,[0.00063085],[0.06519469],[4.64526479],[5.06500334]
28,0.02900000000000002,[0.00070086],[0.07001013],[4.81544512],[5.25069177]
29,0.03000000000000002,[0.00077586],[0.07499556],[4.98542227],[5.43617291]
30,0.03100000000000002,[0.00085601],[0.08015074],[5.15518908],[5.62143944]
31,0.03200000000000002,[0.00094148],[0.08547548],[5.32473836],[5.80648404]
32,0.03300000000000002,[0.00103245],[0.09096955],[5.49406297],[5.99129942]
33,0.03400000000000002,[0.00112908],[0.0966327],[5.66315574],[6.17587826]
34,0.035000000000000024,[0.00123155],[0.10246471],[5.83200955],[6.3602133]
35,0.036000000000000025,[0.00134001],[0.10846533],[6.00061724],[6.54429724]
36,0.037000000000000026,[0.00145465],[0.1146343],[6.16897171],[6.72812283]
37,0.03800000000000003,[0.00157562],[0.12097137],[6.33706585],[6.9116828]
38,0.03900000000000003,[0.0017031],[0.12747626],[6.50489254],[7.09496991]
39,0.04000000000000003,[0.00183724],[0.1341487],[6.67244469],[7.27797692]
40,0.04100000000000003,[0.00197823],[0.14098842],[6.83971524],[7.46069661]
41,0.04200000000000003,[0.00212623],[0.14799512],[7.0066971],[7.64312177]
42,0.04300000000000003,[0.0022814],[0.1551685],[7.17338322],[7.82524519]
43,0.04400000000000003,[0.0024439],[0.16250827],[7.33976655],[8.00705968]
44,0.04500000000000003,[0.00261392],[0.17001411],[7.50584006],[8.18855807]
45,0.046000000000000034,[0.0027916],[0.1776857],[7.67159672],[8.36973318]
46,0.047000000000000035,[0.00297713],[0.18552273],[7.83702953],[8.55057787]
47,0.048000000000000036,[0.00317065],[0.19352486],[8.0021315],[8.731085]
48,0.04900000000000004,[0.00337234],[0.20169176],[8.16689563],[8.91124745]
49,0.05000000000000004,[0.00358237],[0.21002307],[8.33131495],[9.09105809]
50,0.05100000000000004,[0.00380089],[0.21851846],[8.49538252],[9.27050983]
51,0.05200000000000004,[0.00402806],[0.22717755],[8.65909139],[9.44959559]
52,0.05300000000000004,[0.00426406],[0.23599998],[8.82243462],[9.62830829]
53,0.05400000000000004,[0.00450905],[0.24498539],[8.98540531],[9.80664089]
54,0.05500000000000004,[0.00476318],[0.25413338],[9.14799656],[9.98458634]
55,0.05600000000000004,[0.00502663],[0.26344359],[9.31020148],[10.16213761]
56,0.057000000000000044,[0.00529954],[0.2729156],[9.47201321],[10.3392877]
57,0.058000000000000045,[0.00558209],[0.28254902],[9.63342489],[10.51602961]
58,0.059000000000000045,[0.00587443],[0.29234345],[9.79442968],[10.69235636]
59,0.060000000000000046,[0.00617673],[0.30229847],[9.95502077],[10.868261]
60,0.06100000000000005,[0.00648915],[0.31241367],[10.11519135],[11.04373658]
61,0.06200000000000005,[0.00681183],[0.3226886],[10.27493463],[11.21877617]
62,0.06300000000000004,[0.00714496],[0.33312284],[10.43424385],[11.39337287]
63,0.06400000000000004,[0.00748867],[0.34371596],[10.59311224],[11.56751977]
64,0.06500000000000004,[0.00784314],[0.35446749],[10.75153307],[11.74121001]
65,0.06600000000000004,[0.00820852],[0.36537699],[10.90949963],[11.91443672]
66,0.06700000000000005,[0.00858496],[0.37644399],[11.06700521],[12.08719307]
67,0.06800000000000005,[0.00897263],[0.38766804],[11.22404313],[12.25947224]
