id,time,qpos,qvel,qacc,ctrl
0,0.001,[0.],[0.],[0.],[0.]
1,0.002,[4.58713685e-08],[4.58713685e-05],[0.04587137],[0.04999979]
2,0.003,[1.83484203e-07],[0.00013761],[0.09174147],[0.09999833]
3,0.004,[4.58706061e-07],[0.00027522],[0.13760902],[0.14999438]
4,0.005,[9.17400687e-07],[0.00045869],[0.18347277],[0.19998667]
5,0.006,[1.60542674e-06],[0.00068803],[0.22933143],[0.24997396]
6,0.007,[2.56863654e-06],[0.00096321],[0.27518374],[0.299955]
7,0.008,[3.85287476e-06],[0.00128424],[0.32102843],[0.34992855]
8,0.009000000000000001,[5.50397721e-06],[0.0016511],[0.36686422],[0.39989334]
9,0.010000000000000002,[7.56776952e-06],[0.00206379],[0.41268986],[0.44984814]
10,0.011000000000000003,[1.00900659e-05],[0.0025223],[0.45850406],[0.49979169]
11,0.012000000000000004,[1.31166678e-05],[0.0030266],[0.50430556],[0.54972275]
12,0.013000000000000005,[1.66933628e-05],[0.00357669],[0.55009308],[0.59964006]
13,0.014000000000000005,[2.08659232e-05],[0.00417256],[0.59586538],[0.64954239]
14,0.015000000000000006,[2.56801047e-05],[0.00481418],[0.64162116],[0.69942847]
15,0.016000000000000007,[3.11816454e-05],[0.00550154],[0.68735917],[0.74929707]
16,0.017000000000000008,[3.74162642e-05],[0.00623462],[0.73307814],[0.79914694]
17,0.01800000000000001,[4.44296599e-05],[0.0070134],[0.7787768],[0.84897683]
18,0.01900000000000001,[5.22675094e-05],[0.00783785],[0.82445389],[0.89878549]
19,0.02000000000000001,[6.09754671e-05],[0.00870796],[0.87010813],[0.94857169]
20,0.02100000000000001,[7.0599163e-05],[0.0096237],[0.91573827],[0.99833417]
21,0.022000000000000013,[8.1184202e-05],[0.01058504],[0.96134304],[1.04807169]
22,0.023000000000000013,[9.27761621e-05],[0.01159196],[1.00692118],[1.09778301]
23,0.024000000000000014,[0.00010542],[0.01264443],[1.05247142],[1.14746688]
24,0.025000000000000015,[0.00011916],[0.01374242],[1.0979925],[1.19712207]
25,0.026000000000000016,[0.00013405],[0.01488591],[1.14348315],[1.24674733]
26,0.027000000000000017,[0.00015012],[0.01607485],[1.18894213],[1.29634143]
27,0.028000000000000018,[0.00016743],[0.01730922],[1.23436816],[1.34590311]
28,0.02900000000000002,[0.00018602],[0.01858898],[1.27975999],[1.39543115]
29,0.03000000000000002,[0.00020594],[0.01991409],[1.32511636],[1.4449243]
30,0.03100000000000002,[0.00022722],[0.02128453],[1.37043601],[1.49438132]
31,0.03200000000000002,[0.00024992],[0.02270025],[1.41571769],[1.54380099]
32,0.03300000000000002,[0.00027408],[0.02416121],[1.46096014],[1.59318207]
33,0.03400000000000002,[0.00029975],[0.02566737],[1.5061621],[1.64252331]
34,0.035000000000000024,[0.00032697],[0.02721869],[1.55132232],[1.69182349]
35,0.036000000000000025,[0.00035578],[0.02881513],[1.59643955],[1.74108138]
36,0.037000000000000026,[0.00038624],[0.03045664],[1.64151254],[1.79029573]
37,0.03800000000000003,[0.00041838],[0.03214318],[1.68654003],[1.83946534]
38,0.03900000000000003,[0.00045226],[0.03387471],[1.73152078],[1.88858895]
39,0.04000000000000003,[0.00048791],[0.03565116],[1.77645354],[1.93766535]
40,0.04100000000000003,[0.00052538],[0.0374725],[1.82133706],[1.98669331]
41,0.04200000000000003,[0.00056472],[0.03933867],[1.86617009],[2.0356716]
42,0.04300000000000003,[0.00060597],[0.04124962],[1.9109514],[2.084599]
43,0.04400000000000003,[0.00064918],[0.0432053],[1.95567974],[2.13347428]
44,0.04500000000000003,[0.00069438],[0.04520565],[2.00035386],[2.18229623]
